Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1569.0708326910626,OUT049
FDW14,1442.2076288717626,OUT017
NCN55,576.4950823960322,OUT010
FDQ58,2500.3449191249306,OUT017
FDY38,5838.477389551204,OUT027
FDH56,1945.9241223751485,OUT046
FDL48,742.8004643918714,OUT018
FDC48,2123.4890284029984,OUT027
FDN33,1530.8707161355806,OUT045
FDA36,3053.918403402289,OUT017
FDT44,1957.3430050944842,OUT017
FDQ56,1429.120853198853,OUT045
NCC54,576.0123200013549,OUT019
FDU11,2024.689947357086,OUT049
DRL59,836.9085695517192,OUT013
FDM24,2483.0201982685844,OUT049
FDI57,3107.032560258491,OUT045
DRC12,3052.160753950867,OUT018
NCM42,2912.916703126138,OUT027
FDA46,507.7151119829122,OUT010
FDA31,2867.875450040118,OUT013
NCJ31,3892.3785902091013,OUT035
FDG52,744.5836725002406,OUT046
NCL19,287.8135506013878,OUT019
FDS10,3010.8628715597215,OUT035
FDX22,559.9277913883066,OUT010
NCF19,742.1035591886296,OUT035
NCE06,2554.177727861608,OUT046
DRC27,3895.8879611695775,OUT046
FDE21,1943.4780342125532,OUT035
NCR42,132.5453791313342,OUT019
FDX51,3052.160753950867,OUT018
NCR06,665.2394778871737,OUT018
FDU31,5838.477389551204,OUT027
FDU59,2558.156070286146,OUT017
FDR03,5840.516013649389,OUT027
FDS49,2035.3046451201817,OUT027
FDD48,268.53665703943017,OUT010
NCF18,3053.918403402289,OUT017
NCD43,2849.15862774485,OUT027
NCD54,2150.922749385807,OUT018
FDY19,269.18604251489324,OUT010
NCY54,2869.63309949154,OUT017
NCL19,2468.244987321134,OUT018
FDP23,568.4759125720251,OUT010
FDC26,1678.1722094345846,OUT013
FDR14,132.5453791313342,OUT010
NCS41,3048.6193538285156,OUT035
FDF41,3897.050602692095,OUT035
FDU34,2024.689947357086,OUT046
DRH11,944.4747508978778,OUT046
FDM03,1569.0708326910626,OUT013
FDS31,3019.054549254498,OUT017
FDJ20,2024.689947357086,OUT017
FDV44,5141.342678181456,OUT027
FDG02,3053.918403402289,OUT049
FDA09,2967.9255420356694,OUT013
FDT04,701.3060704481719,OUT013
FDL58,572.5148914043058,OUT019
FDE52,1490.070865211924,OUT045
FDW12,2468.244987321134,OUT035
FDL51,3694.1026786779653,OUT017
NCY42,3014.4431246377953,OUT027
FDR07,1530.8707161355806,OUT017
FDN40,2488.27123835041,OUT045
FDB35,2688.619329008827,OUT027
FDA22,2558.156070286146,OUT017
NCL06,4061.6968077405704,OUT046
FDI35,3017.2968998030756,OUT013
NCW42,3774.908453262893,OUT045
NCX06,2983.853535780352,OUT049
FDC37,2886.6042020642844,OUT027
FDZ14,2024.689947357086,OUT018
DRG49,3890.657317084639,OUT049
NCG06,4036.6346271355205,OUT045
DRC36,2869.63309949154,OUT045
FDV21,280.942016935088,OUT019
FDB53,2483.0201982685844,OUT046
DRP47,573.8102973858096,OUT019
FDA14,2479.846705339895,OUT013
DRC24,2488.27123835041,OUT035
FDW21,1556.609676192492,OUT018
NCH29,1530.8707161355806,OUT046
FDU58,3052.160753950867,OUT013
FDY27,2890.9060245023225,OUT017
FDV56,1571.4902117759664,OUT035
FDT59,3829.5379247495207,OUT046
FDB23,3804.056722934936,OUT046
FDR49,741.6401821372509,OUT045
FDB03,576.0123200013549,OUT010
FDN39,2558.156070286146,OUT045
FDX02,5840.516013649389,OUT027
FDQ16,2884.1895326417352,OUT027
FDU35,1544.492060498483,OUT018
NCT29,2024.689947357086,OUT013
FDZ27,744.5836725002406,OUT046
FDN57,2032.2300870824602,OUT017
FDA03,2483.0201982685844,OUT018
FDZ36,3053.918403402289,OUT045
NCU05,1467.9103465042901,OUT013
FDT39,2483.0201982685844,OUT018
FDK60,1530.8707161355806,OUT017
FDZ25,2742.3516747280137,OUT017
FDG12,2024.689947357086,OUT046
DRB01,501.7074120317638,OUT019
NCC43,5840.516013649389,OUT027
FDX13,569.1527224349583,OUT019
FDM22,869.7243990115529,OUT049
FDJ03,1061.5324528833178,OUT027
FDU14,3768.6644382958334,OUT018
FDB33,380.72044435011315,OUT010
FDP27,3053.918403402289,OUT046
FDO38,158.10912700818233,OUT010
FDE28,5840.516013649389,OUT027
FDO27,1530.8707161355806,OUT035
DRL23,2878.196235637122,OUT027
FDS28,944.4747508978778,OUT046
FDX24,1538.686345400322,OUT013
FDZ02,1530.8707161355806,OUT035
FDL46,1945.9241223751485,OUT045
FDS60,4729.926019390078,OUT027
NCO06,662.363153409563,OUT017
FDO16,1427.1697295363012,OUT035
FDC60,1442.2076288717626,OUT049
FDA48,3517.613439873798,OUT018
FDZ36,5141.342678181456,OUT027
FDK27,2022.2390326166633,OUT045
FDW23,664.3888448250015,OUT018
FDM14,1650.4403237903214,OUT018
FDM14,1571.4902117759664,OUT013
FDW60,2891.5053359051394,OUT018
FDE21,1943.4780342125532,OUT013
NCM42,1571.4902117759664,OUT035
FDY59,227.86466455140024,OUT010
DRI49,1355.5620827500095,OUT049
FDT28,365.2026965477055,OUT019
FDQ22,664.3888448250015,OUT018
FDR60,1299.3070074751222,OUT049
FDC50,235.01253695474142,OUT019
FDV24,2483.0201982685844,OUT013
DRF48,491.7096169761016,OUT010
FDQ47,667.4623317826158,OUT046
DRN36,1530.8707161355806,OUT049
NCY06,2024.689947357086,OUT035
FDE52,1485.8360648910123,OUT035
NCB54,2024.689947357086,OUT045
NCF31,2488.27123835041,OUT035
FDJ08,5152.956548382303,OUT027
NCC07,1566.6702672144127,OUT017
NCD19,1231.5626550673046,OUT027
FDL46,1968.3497510660052,OUT049
FDM20,3930.993927889873,OUT045
NCI06,455.3943374616868,OUT010
DRM11,4072.344842952376,OUT035
NCH07,2538.1863701325465,OUT018
FDS23,2027.0441561225293,OUT013
FDO49,741.5497128655883,OUT018
FDS35,1069.5114710274613,OUT049
DRK39,1399.6890180055852,OUT045
DRI39,913.5011454320269,OUT049
FDV04,2539.944019583969,OUT017
NCN14,3048.6193538285156,OUT035
FDH08,3823.797392569225,OUT013
FDS20,3048.6193538285156,OUT046
FDV40,1126.1856567597,OUT049
FDZ48,260.75144320734665,OUT010
FDS24,2508.283098344287,OUT027
FDK44,2869.63309949154,OUT049
FDS48,2483.0201982685844,OUT045
FDK26,495.1903325939888,OUT010
FDD23,3053.918403402289,OUT045
NCH54,2554.177727861608,OUT017
NCP14,243.8759853776716,OUT010
FDM60,132.5453791313342,OUT010
FDV24,2483.0201982685844,OUT017
FDH08,3590.8319332296073,OUT018
FDS12,2990.186953417119,OUT027
FDR39,4794.468219634956,OUT027
FDP12,1002.4435096069559,OUT027
DRF60,5840.516013649389,OUT027
FDC09,1566.6702672144127,OUT035
FDF50,3058.2806917500375,OUT018
FDG28,3935.3558243593284,OUT035
NCE19,907.2668901775639,OUT017
NCM53,252.79650424971783,OUT010
NCN18,1657.7733005906118,OUT049
FDF32,3126.2349937905715,OUT035
FDF11,3926.909906569309,OUT013
DRI59,3819.0351338419673,OUT049
NCG54,2742.3516747280137,OUT035
FDM44,1561.3843497525854,OUT046
FDT57,3658.096595835507,OUT018
FDV24,2483.0201982685844,OUT046
FDI50,571.7999336287536,OUT019
FDS09,766.2682342833054,OUT035
NCC31,4117.690058501518,OUT027
FDQ07,576.4575085796048,OUT019
FDC22,3053.918403402289,OUT017
FDZ56,2742.3516747280137,OUT046
FDZ40,132.5453791313342,OUT019
FDS46,2925.723292067755,OUT027
DRD24,2038.2261760000038,OUT045
FDV45,3053.918403402289,OUT017
FDL26,2500.3449191249306,OUT045
FDA56,2024.689947357086,OUT018
FDN27,1948.3539435963287,OUT046
FDM20,3921.4184490416624,OUT049
FDO16,1398.4311788851662,OUT017
FDL03,3053.918403402289,OUT035
FDE58,1945.9241223751485,OUT046
FDI02,2912.916703126138,OUT027
NCC55,132.5453791313342,OUT019
FDR03,3316.0713456933377,OUT018
FDB14,1521.939139467583,OUT017
FDR45,3925.104393699316,OUT013
NCN07,2027.0441561225293,OUT017
FDM51,250.57405856629052,OUT019
FDT52,5838.477389551204,OUT027
FDL26,2500.3449191249306,OUT046
NCZ42,3908.240709604307,OUT046
DRI47,365.8818244452723,OUT019
FDW40,2038.2261760000038,OUT013
FDN34,2742.3516747280137,OUT046
FDS01,2903.298913826118,OUT035
NCG55,1943.4780342125532,OUT045
FDC11,1442.2076288717626,OUT035
FDX35,3562.361901129377,OUT018
NCB06,2544.166772974115,OUT046
FDR09,573.3651088075596,OUT019
FDC53,1530.8707161355806,OUT017
FDY45,4021.660602702585,OUT013
FDA22,384.49676683217695,OUT010
FDE02,1530.8707161355806,OUT035
FDW21,1556.609676192492,OUT045
FDV34,1149.8760723840917,OUT046
FDS59,1571.4902117759664,OUT049
NCW17,2024.689947357086,OUT017
NCK54,1945.9241223751485,OUT046
FDG17,571.7999336287536,OUT019
FDG35,2869.63309949154,OUT017
FDD08,132.5453791313342,OUT010
NCO07,3688.283193562651,OUT017
FDJ10,280.3323652154065,OUT010
FDW36,1566.6702672144127,OUT017
FDW21,242.57204785973087,OUT010
FDY19,1948.3539435963287,OUT017
DRE03,776.401719750358,OUT013
NCC55,669.4880231980543,OUT049
FDH52,136.00578622247795,OUT010
