Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1647.3402842336054,OUT049
FDW14,1363.8289296470227,OUT017
NCN55,572.3735785801406,OUT010
FDQ58,2455.5756991052854,OUT017
FDY38,5856.0608235135205,OUT027
FDH56,1936.3080677065525,OUT046
FDL48,762.2487644431213,OUT018
FDC48,2142.3799633303215,OUT027
FDN33,1517.8108158551654,OUT045
FDA36,3097.956604394644,OUT017
FDT44,1929.8924299696455,OUT017
FDQ56,1358.979063475515,OUT045
NCC54,572.8403756640022,OUT019
FDU11,2017.550304061351,OUT049
DRL59,872.0612219598904,OUT013
FDM24,2465.838157404185,OUT049
FDI57,3066.772155086235,OUT045
DRC12,2962.2061700211825,OUT018
NCM42,2911.367551600227,OUT027
FDA46,506.7731442421874,OUT010
FDA31,2845.010464897047,OUT013
NCJ31,3848.860005114275,OUT035
FDG52,785.2874875785866,OUT046
NCL19,287.2610643052402,OUT019
FDS10,3005.0294957848128,OUT035
FDX22,566.2872082641873,OUT010
NCF19,758.1577929413035,OUT035
NCE06,2565.550532055244,OUT046
DRC27,3890.6532444793843,OUT046
FDE21,1965.0018329761206,OUT035
NCR42,130.8377024369942,OUT019
FDX51,2999.2186269262033,OUT018
NCR06,610.4949793247762,OUT018
FDU31,5856.73427148549,OUT027
FDU59,2553.9306655602595,OUT017
FDR03,5854.177715143763,OUT027
FDS49,2054.2138681386214,OUT027
FDD48,268.46629180735584,OUT010
NCF18,3025.30370952972,OUT017
NCD43,2855.044161675123,OUT027
NCD54,2118.7114494817156,OUT018
FDY19,269.2493320279218,OUT010
NCY54,2860.776334935388,OUT017
NCL19,2423.986021110623,OUT018
FDP23,569.0016559266282,OUT010
FDC26,1735.0121966178042,OUT013
FDR14,130.8377024369942,OUT010
NCS41,3128.6950433586176,OUT035
FDF41,3869.6331433076894,OUT035
FDU34,2040.9137915125557,OUT046
DRH11,948.8564908372714,OUT046
FDM03,1651.8682865113706,OUT013
FDS31,3063.4511170734745,OUT017
FDJ20,1990.743852827375,OUT017
FDV44,5175.434729029847,OUT027
FDG02,3114.6999703455326,OUT049
FDA09,2994.9852338307155,OUT013
FDT04,700.575333804364,OUT013
FDL58,571.4225374898408,OUT019
FDE52,1378.1031058190738,OUT045
FDW12,2482.6701763492347,OUT035
FDL51,3672.536888153164,OUT017
NCY42,3019.8423163976468,OUT027
FDR07,1541.2601167954374,OUT017
FDN40,2465.551544057901,OUT045
FDB35,2686.051627024977,OUT027
FDA22,2541.1558912005926,OUT017
NCL06,4143.049714355121,OUT046
FDI35,3058.3243269541254,OUT013
NCW42,3768.6150122604445,OUT045
NCX06,2998.1744838862355,OUT049
FDC37,2882.9355977594246,OUT027
FDZ14,1947.4051065775184,OUT018
DRG49,3840.822664420249,OUT049
NCG06,4115.310517736068,OUT045
DRC36,2866.1229884497193,OUT045
FDV21,279.61999907277027,OUT019
FDB53,2506.156132492853,OUT046
DRP47,570.1739080478022,OUT019
FDA14,2457.545448283326,OUT013
